,Human,Chimpanzee,Gorilla,Orangutan,Gibbon
Human,0.0,0.004011041512166216,0.014137864107202969,0.07351136095570451,0.31012600435725873
Chimpanzee,0.004011041512166216,0.0,0.018222673104084368,0.07793027307011083,0.31620282475288564
Gorilla,0.014137864107202969,0.018222673104084368,0.0,0.0891488967718927,0.325427134184847
Orangutan,0.07351136095570451,0.07793027307011083,0.0891488967718927,0.0,0.3765736592594382
Gibbon,0.31012600435725873,0.31620282475288564,0.325427134184847,0.3765736592594382,0.0
